Series,Season,Episodes,Excluded
The big bang theory,1,17,
The big bang theory,2,23,
The big bang theory,3,23,
The big bang theory,4,24,
The big bang theory,5,24,
The big bang theory,6,24,
The big bang theory,7,24,
The big bang theory,8,24,
The big bang theory,9,24,
The big bang theory,10,24,
The big bang theory,11,24,
The big bang theory,12,24,
Simpsons,1,13,
Simpsons,2,22,
Simpsons,3,24,
Simpsons,4,22,
Simpsons,5,22,
Simpsons,6,25,
Simpsons,7,25,
Simpsons,8,25,
Simpsons,9,25,
Simpsons,10,23,
Simpsons,11,22,
Simpsons,12,21,
Simpsons,13,22,
Simpsons,14,22,
Simpsons,15,22,
Simpsons,16,21,
Simpsons,17,22,
Simpsons,18,22,
Simpsons,19,20,
Simpsons,20,21,
Simpsons,21,23,
Simpsons,22,22,
Simpsons,23,22,
Simpsons,24,22,
Simpsons,25,22,
Simpsons,26,22,
Simpsons,27,22,
Simpsons,28,22,
Simpsons,29,21,
Simpsons,30,23,
Simpsons,31,22,
Simpsons,32,22,
Simpsons,33,22,
Simpsons,34,22,
Simpsons,35,18,
Classic Simpsons,2,22,
Classic Simpsons,3,24,
Classic Simpsons,4,22,
Classic Simpsons,5,22,
Classic Simpsons,6,25,
Classic Simpsons,7,25,
Classic Simpsons,8,25,
Classic Simpsons,9,25,
Classic Simpsons,10,23,
Classic Simpsons,11,22,
Classic Simpsons,12,21,
Classic Simpsons,13,22,
Classic Simpsons,14,22,
Classic Simpsons,15,22,
Classic Simpsons,16,21,
Classic Simpsons,17,22,
Classic Simpsons,18,22,
Classic Simpsons,19,20,
Classic Simpsons,20,21,
Classic Simpsons,21,23,
Classic Simpsons,22,22,
Classic Simpsons,23,22,
Classic Simpsons,24,22,
Classic Simpsons,25,22,
Malcolm,1,16,
Malcolm,2,25,
Malcolm,3,22,
Malcolm,4,22,
Malcolm,5,22,
Malcolm,6,22,
Malcolm,7,22,
Brooklyn 99,1,22,
Brooklyn 99,2,23,
Brooklyn 99,3,23,
Brooklyn 99,4,22,
Brooklyn 99,5,22,
Brooklyn 99,6,18,
Brooklyn 99,7,13,
Brooklyn 99,8,10,
South Park,1,13,
South Park,2,18,
South Park,3,17,
South Park,4,17,
South Park,5,14,
South Park,6,17,
South Park,7,15,
South Park,8,14,
South Park,9,14,
South Park,10,14,
South Park,11,14,
South Park,12,14,
South Park,13,14,
South Park,14,14,
South Park,15,14,
South Park,16,14,
South Park,17,10,
South Park,18,10,
South Park,19,10,
South Park,20,10,
South Park,21,10,
South Park,22,10,
South Park,23,10,
South Park,24,4,
South Park,25,8,
South Park,26,9,
Futurama,1,13,
Futurama,2,19,
Futurama,3,22,
Futurama,4,18,
Futurama,5,16
